"SampleID","Individual_ID","UniProt","GeneID","Assay","NPX","Panel","Index"
"CV74_63","CV74","P00915","CA1","CA1",6.32969,"CM",63
"CV16_64","CV16","P00915","CA1","CA1",5.93207,"CM",64
"CV21_1","CV21","P05362","ICAM1","ICAM1",8.20547,"CM",1
"C161_2","C161","P05362","ICAM1","ICAM1",6.25219,"CM",2
"C173_3","C173","P05362","ICAM1","ICAM1",6.30257,"CM",3
"CV11_4","CV11","P05362","ICAM1","ICAM1",6.56058,"CM",4
"CV59_5","CV59","P05362","ICAM1","ICAM1",6.50362,"CM",5
"C193_6","C193","P05362","ICAM1","ICAM1",5.89084,"CM",6
"C33_7","C33","P05362","ICAM1","ICAM1",6.12394,"CM",7
"CV39_8","CV39","P05362","ICAM1","ICAM1",6.92808,"CM",8
"CV6_9","CV6","P05362","ICAM1","ICAM1",7.25481,"CM",9
"CV38_10","CV38","P05362","ICAM1","ICAM1",7.02628,"CM",10
"CV4_11","CV4","P05362","ICAM1","ICAM1",5.92186,"CM",11
"C195_12","C195","P05362","ICAM1","ICAM1",6.79987,"CM",12
"CV1_13","CV1","P05362","ICAM1","ICAM1",6.23286,"CM",13
"C237_14","C237","P05362","ICAM1","ICAM1",6.67515,"CM",14
"CV2_15","CV2","P05362","ICAM1","ICAM1",6.17069,"CM",15
"C189_16","C189","P05362","ICAM1","ICAM1",6.91431,"CM",16
"CV42_17","CV42","P05362","ICAM1","ICAM1",8.45476,"CM",17
"CV79_18","CV79","P05362","ICAM1","ICAM1",6.6691,"CM",18
"CV3_19","CV3","P05362","ICAM1","ICAM1",6.23078,"CM",19
"CV36_20","CV36","P05362","ICAM1","ICAM1",6.78155,"CM",20
"CV55_21","CV55","P05362","ICAM1","ICAM1",6.31533,"CM",21
"C246_22","C246","P05362","ICAM1","ICAM1",5.93932,"CM",22
"CV30_23","CV30","P05362","ICAM1","ICAM1",5.98214,"CM",23
"CV19_24","CV19","P05362","ICAM1","ICAM1",6.81161,"CM",24
"CV13_25","CV13","P05362","ICAM1","ICAM1",6.44997,"CM",25
"C137_26","C137","P05362","ICAM1","ICAM1",6.38919,"CM",26
"CV47_27","CV47","P05362","ICAM1","ICAM1",7.16804,"CM",27
"CV29_28","CV29","P05362","ICAM1","ICAM1",6.57946,"CM",28
"CV14_29","CV14","P05362","ICAM1","ICAM1",6.80715,"CM",29
"CV56_30","CV56","P05362","ICAM1","ICAM1",7.14624,"CM",30
"CV82_31","CV82","P05362","ICAM1","ICAM1",6.942,"CM",31
"CV23_32","CV23","P05362","ICAM1","ICAM1",5.97252,"CM",32
"CV37_33","CV37","P05362","ICAM1","ICAM1",7.76076,"CM",33
"CV34_34","CV34","P05362","ICAM1","ICAM1",6.58007,"CM",34
"CV58_35","CV58","P05362","ICAM1","ICAM1",7.42545,"CM",35
"CV22_36","CV22","P05362","ICAM1","ICAM1",7.54962,"CM",36
"CV65_37","CV65","P05362","ICAM1","ICAM1",6.50054,"CM",37
